City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,grytviken,-54.2811,-36.5092,-2.93,84,100,5.14,GS,2024-08-02 00:36:12
69,pervomayskoye,43.919,46.7102,22.04,53,37,2.48,RU,2024-08-02 00:36:13
70,marrakesh,31.6315,-8.0083,31.86,48,40,2.57,MA,2024-08-02 00:35:02
71,wynyard,-41.0,145.7167,11.44,81,100,4.77,AU,2024-08-02 00:36:15
72,morong,14.5115,121.2393,30.6,80,89,0.72,PH,2024-08-02 00:36:16
73,las tablas,7.7667,-80.2833,25.1,99,100,2.37,PA,2024-08-02 00:36:17
74,viedma,-40.8135,-62.9967,14.85,81,100,5.21,AR,2024-08-02 00:36:18
75,zahedan,29.4963,60.8629,25.95,22,0,2.06,IR,2024-08-02 00:36:19
76,enewetak,11.3474,162.3373,28.74,75,95,4.67,MH,2024-08-02 00:36:20
77,aykhal,66.0,111.5,14.29,44,19,3.16,RU,2024-08-02 00:36:21
78,trevelin,-43.0858,-71.4639,3.71,97,100,1.66,AR,2024-08-02 00:36:22
79,upington,-28.4478,21.2561,8.21,21,0,1.03,ZA,2024-08-02 00:36:23
80,hammerfest,70.6634,23.6821,13.25,100,40,1.54,NO,2024-08-02 00:36:25
81,palmer,42.1584,-72.3287,27.34,67,27,0.48,US,2024-08-02 00:36:26
82,lang son,21.8333,106.7333,25.41,83,93,1.87,VN,2024-08-02 00:36:28
83,kandahar,31.0,65.75,27.97,53,100,4.09,AF,2024-08-02 00:36:29
84,tazacorte,28.629,-17.9293,23.42,78,75,7.2,ES,2024-08-02 00:36:30
85,ambon,-3.6954,128.1814,27.08,78,40,2.06,ID,2024-08-02 00:36:31
86,ebon,4.582,168.6964,28.21,75,84,2.97,MH,2024-08-02 00:36:32
87,quelimane,-17.8786,36.8883,23.02,61,100,2.05,MZ,2024-08-02 00:36:33
88,jamestown,42.097,-79.2353,25.8,83,0,2.57,US,2024-08-02 00:33:34
89,huntsville,34.7304,-86.5861,31.26,64,40,2.57,US,2024-08-02 00:36:28
90,yelizovo,53.1873,158.3805,23.08,60,75,4.0,RU,2024-08-02 00:36:37
91,karratha,-20.7377,116.8463,20.87,65,86,6.81,AU,2024-08-02 00:36:38
92,uacu cungo,-11.3634,15.1208,16.21,79,19,0.19,AO,2024-08-02 00:36:39
93,edinburgh of the seven seas,-37.0676,-12.3116,11.79,72,100,14.53,SH,2024-08-02 00:36:40
94,meadow lakes,61.6247,-149.6011,19.4,65,100,1.54,US,2024-08-02 00:36:41
95,isafjordur,66.0755,-23.124,5.44,96,100,5.54,IS,2024-08-02 00:36:42
96,valparaiso,-33.0393,-71.6273,13.8,70,75,6.69,CL,2024-08-02 00:35:37
97,lipkovo,42.1564,21.5853,15.57,27,0,0.8,MK,2024-08-02 00:36:45
98,santa terezinha,-29.9002,-50.0904,15.76,94,3,7.31,BR,2024-08-02 00:36:46
99,hermanus,-34.4187,19.2345,8.78,83,83,2.28,ZA,2024-08-02 00:36:47
100,cestos city,5.46,-9.5828,24.67,86,100,5.9,LR,2024-08-02 00:36:48
101,ust-nera,64.5667,143.2,6.28,88,100,3.07,RU,2024-08-02 00:36:49
102,plastun,44.7561,136.2939,30.21,64,62,0.9,RU,2024-08-02 00:36:50
103,atafu village,-8.5421,-172.5159,27.93,72,94,8.1,TK,2024-08-02 00:36:51
104,otjiwarongo,-20.4637,16.6477,13.41,28,0,2.31,NA,2024-08-02 00:36:52
105,kodiak,57.79,-152.4072,19.73,42,0,6.17,US,2024-08-02 00:32:57
106,margaret river,-33.95,115.0667,11.62,61,99,1.01,AU,2024-08-02 00:36:54
107,bilibino,68.0546,166.4372,9.79,43,8,4.01,RU,2024-08-02 00:33:11
108,saint-philippe,-21.3585,55.7679,19.77,77,66,4.33,RE,2024-08-02 00:36:56
109,sigli,5.3848,95.9609,27.39,78,100,1.86,ID,2024-08-02 00:36:57
110,kathu,7.9178,98.3332,30.39,88,83,0.76,TH,2024-08-02 00:36:59
111,vertientes,21.2594,-78.1464,29.34,83,11,5.57,CU,2024-08-02 00:37:00
112,sake,-1.5736,29.045,16.99,67,35,0.22,CD,2024-08-02 00:37:01
113,bardsir,29.9227,56.5743,24.47,21,24,1.43,IR,2024-08-02 00:37:02
114,morinville,53.8001,-113.652,29.15,37,12,3.13,CA,2024-08-02 00:37:04
115,kincardine,56.0667,-3.7167,16.01,93,63,1.51,GB,2024-08-02 00:36:28
116,khandyga,62.6667,135.6,12.75,60,43,2.41,RU,2024-08-02 00:37:06
117,sur,22.5667,59.5289,32.65,54,98,3.96,OM,2024-08-02 00:37:07
118,afaahiti,-17.75,-149.2833,24.93,64,22,6.23,PF,2024-08-02 00:37:08
119,ribeira brava,32.65,-17.0667,24.35,93,0,1.93,PT,2024-08-02 00:37:09
120,archangelos,36.2149,28.1149,24.99,72,0,1.99,GR,2024-08-02 00:37:10
121,manado,1.487,124.8455,31.43,58,20,2.57,ID,2024-08-02 00:37:11
122,saint-joseph,-21.3667,55.6167,19.21,77,86,3.31,RE,2024-08-02 00:37:12
123,kapa'a,22.0752,-159.319,28.18,63,20,5.14,US,2024-08-02 00:37:13
124,dunedin,-45.8742,170.5036,8.78,72,31,1.79,NZ,2024-08-02 00:32:27
125,olonkinbyen,70.9221,-8.7187,5.16,95,100,8.62,SJ,2024-08-02 00:37:15
126,nieuw amsterdam,5.8833,-55.0833,28.01,83,20,4.12,SR,2024-08-02 00:37:17
127,alice springs,-23.7,133.8833,15.75,31,55,1.54,AU,2024-08-02 00:37:18
128,alotau,-10.3069,150.4462,23.47,94,100,2.41,PG,2024-08-02 00:37:19
129,rio san juan,19.6439,-70.0763,24.6,90,62,2.83,DO,2024-08-02 00:37:21
130,touros,-5.1989,-35.4608,23.0,83,10,5.51,BR,2024-08-02 00:37:22
131,betare oya,5.6,14.0833,18.55,97,94,1.32,CM,2024-08-02 00:37:23
132,colares,38.7992,-9.4469,20.74,83,1,9.66,PT,2024-08-02 00:37:17
133,ust-tsilma,65.441,52.1498,14.26,88,0,1.7,RU,2024-08-02 00:37:25
134,al quwayrah,29.8004,35.3116,27.0,42,0,1.6,JO,2024-08-02 00:37:26
135,tucuma,-0.1833,-50.05,24.97,91,79,3.23,BR,2024-08-02 00:37:27
136,lihue,21.9789,-159.3672,27.77,66,20,5.14,US,2024-08-02 00:37:28
137,argo,37.6333,22.7333,22.66,41,0,1.78,GR,2024-08-02 00:37:29
138,punta arenas,-53.15,-70.9167,5.06,93,100,3.6,CL,2024-08-02 00:36:18
139,baiyin,36.5583,104.2081,17.86,76,100,5.44,CN,2024-08-02 00:37:31
140,nuku'alofa,-21.1333,-175.2,26.19,69,40,3.6,TO,2024-08-02 00:37:32
141,bengkulu,-3.8004,102.2655,24.82,88,16,2.05,ID,2024-08-02 00:37:33
142,saldanha,-33.0117,17.9442,6.03,84,59,3.63,ZA,2024-08-02 00:37:34
143,isoka,-10.1606,32.6335,10.46,68,0,0.31,ZM,2024-08-02 00:37:35
144,avarua,-21.2078,-159.775,23.03,53,75,2.06,CK,2024-08-02 00:37:36
145,yuzhno-kurilsk,44.0306,145.8556,18.29,87,99,3.88,RU,2024-08-02 00:37:37
146,el calafate,-50.3408,-72.2768,1.7,85,100,2.59,AR,2024-08-02 00:37:39
147,delta,5.5,6.0,22.98,96,100,1.44,NG,2024-08-02 00:37:40
148,anadyr,64.75,177.4833,8.28,81,100,8.94,RU,2024-08-02 00:37:41
